Name,StatusApril,Status,Type,Location,Description,FundingSource,ProjectTeam,ProjectTeamInfo,Image,Link,Center
Berkeley Marina Roadway Improvements Project,Completed,Completed,Street,University Avenue (between West Frontage Road and Marina Boulevard),"This is a Measure T1 Phase 2 project. Initial preparations began in early August 2021 with utilities coordination along University Avenue, developing temporary traffic control plans and obtaining the Caltrans permit for establishing traffic control along W. Frontage Road intersection. On October 4, 2021 the Contractor began the first phase improvements on the eastbound lanes on University Avenue as well as the Spinnaker Way roundabout. Alleviate pavement undulation, improve traffic operation and efficiency at Marina Boulevard intersection while promote pedestrian and bicyclist access and safety, implement stormwater green infrastructure where applicable, and enhance entrance point to the Berkeley Marina. Alleviate pavement undulation, improve on‐street parking operation, enhance pavement drainage, implement stormwater green infrastructure where applicable, and provide pedestrian access to Cesar Chavez Park. Enhance longevity of pavement surface, and improve traffic operation.","['Measure T1', 'Measure B & BB', 'Senate Bill 1', 'Capital Improvement Fund', 'Doubletree Hotel Capital Contribution']",['Nelson Lam'],"[['Nelson Lam', 'Supervising Civil Engineer ', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_MarinaStreets-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/berkeley-marina-roadway-improvements-project,
Berkeley Pier with Ferry Access Project ,Planning,Planning,Other Infrastructure,Berkeley Waterfront,"This is aMeasure T1Phase 1 project. Working with the Water Emergency Transportation Authority (WETA) and the consultant team, the City has concluded this 2-year project, including a rigorous 1-year public process, and has chosen a preferred conceptual plan to reconstruct the currently closed Berkeley Pier and include ferry access. This concept plan includes: (1) evaluation of the structural integrity of the existing pier, (2) development of conceptual alternatives, (3) identification of environmental and regulatory permits and (4) cost estimates. The landside and waterside preferred concepts are described (with visuals) in the December 7, 2021 City Council Session linked below. The next step for this project is to identify $10M -$11M in funding for the Design Development phase, including the environmental review process. Once funding is identified, the City and WETA will execute a second agreement for environmental studies and design development. It is anticipated that this process will take 2-3 years. The Pier-Ferry Planning Study public process involved a community process in the form of four (4) Focus groups in early January, 2021 and three large Community Workshops on January 21, 2021, August 10, 2021, and October 27, 2021. The project was presented at the City Council Worksession on February 16, 2021, followed by a WETA Board of Directors meeting on March 4, 2021. The presentation slides and breakout group notes for these meetings can be found on this webpage below. An online questionnaire for the project was conducted to seek broader community feedback. Below is the questionnaire results report. The goal of these meetings was to receive extensive community feedback to develop a preferred concept for the project. The preferred concept was presented to City Council in December of 2021 and the WETA Board in April of 2022. The Berkeley Municipal Pier was closed in July, 2015 due to visually observed structural problems on the underside of the concrete decking and pilings. In 2017, the City retained a structural engineering firm (GHD) to assess the problem and develop a range of potential solutions and costs. In 2018, the Water Emergency Transportation Authority (WETA) staff-initiated discussions with City staff regarding the possibility of new ferry service at the Berkeley Waterfront. During those initial discussions, WETA and City staff realized that it could be cost-effective to investigate a single pier that would provide two uses – ferry service and public recreation. In 2019, WETA and the City Council authorized a Memorandum of Understanding Agreement (MOU) to jointly fund a planning study to evaluate the feasibility of a dual-purpose pier. For background details, see the Council Report approval of the MOU on March 12, 2019.","['Marina Fund', 'Measure T1', 'Capital Improvement Fund', 'WETA Grant']","['Liza McNulty', 'Nelson Lam', 'Roger Miller', 'Ali Endress']","[['Liza McNulty', 'Capital Improvement Programs Manager', 'Parks, Recreation & Waterfront'], ['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront'], ['Roger Miller', 'Senior Management Analyst', 'Parks, Recreation & Waterfront'], ['Ali Endress', 'Waterfront Manager', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_PierFerry_conceptual-design1.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/berkeley-pier-ferry-access-project,
Berkeley Unified School District (BUSD) Workforce Housing Development ,Planning,Planning,Affordable Housing,1701 San Pablo Avenue,"The Berkeley Unified School District Board of Education unanimously approved the Berkeley Adult School (BAS) front parking lot, along San Pablo Avenue, as the site for the District’s Educator Workforce Housing at the February 17, 2021 School Board meeting. An optimistic timeline puts the completion date for BUSD workforce housing availability in 2025. This development could yield up to 110-120 housing units, depending on the design. Educator Workforce Housing will help the District to recruit and retain quality educators, both certificated and classified employees.",['Measure O'],"['Jenny Wyant', 'Satellite Affordable Housing Associates\xa0']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates\xa0', '(510) 647-0700', '']]",https://berkeleyca.gov//sites/default/files/2022-10/1701%20San%20Pablo%20map.PNG,https://berkeleyca.gov/your-government/our-work/capital-projects/berkeley-unified-school-district-busd-workforce-housing,
Berkeley Waterfront Bike Park Conceptual Design Project,Planning,Planning,Park,"Between University Avenue and the San Francisco Bay Trail (north/south), and between Frontage Road and Marina Boulevard (east/west).","This project will collect community input to inform a conceptual design for a bike park near the entrance to the Berkeley Marina. The goal is for this bike park to be a model for inclusivity, healthy activity, and fun as a part of the overall waterfront experience. The conceptual design should serve for mountain bikers, BMX bikers, adaptive cyclists, youth, and young adults, and is envisioned to include progressive features, challenge elements, and alternate lines that encourage users to grow their skills safely. A community process has begun in order to engage the bike community to inform a conceptual design for the project. The initial round of public outreach took place in Spring 2022. It involved a focus group, community questionnaire, and workshop, along with public comments shared via email and phone. The initial round of feedback has been synthesized and was translated into two conceptual design alternatives shared with the community on September 29, 2022.The project team received specific feedback on each concept at the workshop. The conceptual design determined through this process can be used as a basis for future phases which include: funding, design, construction, programming, and ongoing management. Sign up to receive emails about opportunities to engage with the bike park design project: Stay Involved RRM Design Group – Landscape Design & Engineering Wormhoudt Inc. – Bike Park Design",['Marina Fund'],['Ali Endress'],"[['Ali Endress', 'Waterfront Manager', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/bike-park.png,https://berkeleyca.gov/your-government/our-work/capital-projects/berkeley-waterfront-bike-park-conceptual-design-project,
Berkeley Way Apartments and Hope Center,Construction,Construction,Affordable Housing,2012 Berkeley Way,"Located in the heart of downtown Berkeley, the site includes two side-by-side developments: BRIDGE’s Berkeley Way Apartments with 89 affordable homes and services for low- and very low- income families; and the Hope Center, with 53 permanent supportive housing apartments, a 32-bed homeless shelter, 12 transitional beds for homeless veterans, a community kitchen and wrap-around services for mental health, substance abuse, job training and social activities.","['Measure O', 'Housing Trust Fund', 'Measure U1']","['Jenny Wyant', 'Bridge Housing', 'Berkeley Food and Housing Project (BFHP)']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Bridge Housing', '(415) 989-1111'], ['Berkeley Food and Housing Project (BFHP)', '(510) 649-4965']]",https://berkeleyca.gov//sites/default/files/2022-10/20220424-city-of-berkeley-066.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/berkeley-way-apartments-and-hope-center,
Bioswale at Rose and Hopkins,Construction,Completed,Storm,At Rose and Hopkins intersection,The intersection contained a large concrete traffic island. This location was identified as an opportunity to install a bio-swale while at the same time slightly altering the shape of the island to provide traffic calming while maintaining emergency vehicle access to the residences and to transit through this part of the City. This project was funded by Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-10/Rose%20Hopkins.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/bioswale-rose-and-hopkins,"[37.87652069155654, -122.29158985470886]"
Blake Apartments ,Construction,Construction,Affordable Housing,2527 San Pablo Avenue,"Blake Apartments will be the new construction of an affordable housing community for families and people with special needs. The six-story building will provide 63 homes as follows: 21 studio units, eight one-bedroom units, 33 two-bedroom units and one three-bedroom manager’s unit. Twelve homes are prioritized for people with an intellectual or developmental disability.","['Measure O', 'State Local Housing Trust Fund']","['Jenny Wyant', 'Satellite Affordable Housing Associates']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates', '(510) 647-0700', '']]",https://berkeleyca.gov//sites/default/files/2022-10/Blake%20rendering.png,https://berkeleyca.gov/your-government/our-work/capital-projects/blake-apartments,
Cazadero Dining Hall & ADA Improvements,Design,Design,Facility,"5385 Cazadero Hwy, Cazadero, CA","This is aMeasure T1Phase 2 project. Cazadero Camp is a 17-acre City-owned property in Sonoma County, outside Cazadero, CA. The camp is leased to the Berkeley-based non-profit Cazadero Performing Arts Camp (CPAC). As part of the City’s lease agreement, the City agreed to fund $400,000 of needed facility improvements, with CPAC funding the remaining $800,000. This project will make improvements to the Dining Hall roof and lighting, as well as ADA access. The project will start with roof replacement later this year. Improvements include the upgrades to the Dining Hall roof and electrical and accessibility improvements at Cazadero Camp. The Camp tenant pays a significant portion of funds for facility maintenance; T1 funds leverage this funding to maintain and improve the camp. These City-funded improvements are included in the lease agreement with Cazadero Performing Arts Camp.",['Measure T1'],['Molly Sokhom'],"[['Molly Sokhom', 'Assistant Management Analyst', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2023-02/Caz-tree.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/cazadero-dining-hall-ada-improvements,"[38.5240317018628, -123.08769647345999]"
Cedar Rose Park Playground Renovation,Planning,Planning,Park,"Cedar Rose Park,1300 Rose Street, Berkeley, CA 94702","The Cedar Rose Park Playground Renovation Project will make improvements to the children's play area, which could include renovation of the Ages 2-5 playground, Ages 5-12 playground, pathways, site furnishings, fencing, and accessibility improvements. Cedar Rose Park was developed along a portion of the abandoned Santa Fe Railroad right-of-way, over a portion of the Bay Area Rapid Transit (BART) tunnel between North Berkeley and El Cerrito Bart Stations, and additional parcels purchased by the City of Berkeley. The park features a multi-purpose turf field, basketball courts, tennis courts, volleyball court, an ages 2-5 enclosed playground, and ages 5-12 playground, picnic area and a public restroom. This project is currently in the beginning planning phase. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to Cedar Rose Park Improvements email list” and provide your preferred contact information. Fill out our survey by June 9th to share your input on conceptual designs for renovations to Cedar Rose Park. Share your preferences on everything from the general design scheme to the specific materials and types of play structures you'd like to see in the playground. Take Survey",['Measure F'],"['Evelyn Chan', 'Isaac Carnegie']","[['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront'], ['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_CedarRose-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/cedar-rose-park-playground-renovation,
Cesar Chavez Park Restroom Project ,Planning,Planning,Park,Cesar Chavez Park is located on the north portion of the Berkeley Marina. The proposed area for the public restroom is along the north side of Spinnaker Way where currently only portable toilets are available to the public.,"This is a Measure T1 Phase 2 project. The Cesar Chavez Restroom Project includes the following: Currently the project is in the pre-design phase to solicitate for a design consultant to prepare the plans and specifications. Spinnaker Way has recently undergone major pavement, drainage and accessibility improvements where a sewer lateral was installed to accommodate the restroom building at this location.",['Measure T1'],['Jesus Espinoza '],"[['Jesus Espinoza ', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-10/Spinnaker%20Restroom%20Picture.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/cesar-chavez-park-restroom-project,
City-wide Irrigation System,Completed,Completed,Park,City-wide at various locations,"This is a Measure T1 Phase 1 Project. There are approximately 80 irrigation controllers throughout Berkeley that the City operates to water and maintain our parks, fields and medians. Currently, each controller is individually programmed, monitored daily by City staff, and adjusted depending upon anticipated weather conditions. The new computer‐based irrigation system will help the City to effectively manage water across Berkeley’s irrigation systems in a centralized location, which will conserve water and control costs.",['Measure T1'],['Bruce Pratt'],"[['Bruce Pratt', 'Parks Superintendent', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_Irrigation-before-after.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/city-wide-irrigation-system,
Citywide Restroom Assessment Project,Planning,Planning,Other Infrastructure,Citywide,"This is a Measure T1 Phase 1 project. On June 27, 2017, Council approved a Citywide Restroom Needs Assessment Project for Phase 1 of the Measure T1 bond program. The project was designed to perform an evaluation of existing public restrooms, a community input process, and research into ecologically friendly restrooms with the goal of providing recommended locations and types and conceptual designs for upgrades of existing and new public restroom solutions in Berkeley. From January 2019 through October 2020, the consultant (Hyphae Design Laboratory) conducted a data collection, mapping, and community engagement process that resulted in a Citywide Restroom Study called Berkeley WASH Assessment. The study contains an Executive Summary, Research Methodology and Findings, and Recommendations for improved public sanitation throughout Berkeley for planning purposes.",['Measure T1'],['Roger Miller'],"[['Roger Miller', 'Senior Management Analyst', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_Restroom-assessment.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/citywide-restroom-assessment-project,
Civic Center Park Turtle Island Monument,Planning,Planning,Park,"Civic Center Park,2151 Martin Luther King Jr. Way, Berkeley, CA 94704","This is aMeasure T1Phase 2 project. Martin Luther King Jr. Civic Center Park is located in Downtown Berkeley and is part of the Civic Center Historic District, which is listed on the National Register for Historic Places and is a registered City of Berkeley Landmark. Within Civic Center Park, there is a decommissioned fountain – it is 50-feet in diameter, with two tiered levels that step up to a cylindrical core where water jets and lights were once mounted. It was decommissioned in the mid-1970s and is planned to be converted into Turtle Island Monument, a reflection of the Indigenous creation story of Turtle Island, to honor all Indigenous people of this hemisphere. The City of Berkeley was the first city in the U.S. to declare Indigenous Peoples Day. A conceptual design was presented to the Landmarks Preservation and Civic Arts Commissions for feedback in November and December 2022 in preparation for an application for a Structural Alteration Permit to the Landmarks Preservation Commission. The conceptual designs were revised, and on March 30, 2023, the Landmarks Preservation Commission approved the Structural Alteration Permit. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to MLK Jr. Civic Center – Turtle Island Monument email list” and provide your preferred contact information. Secure funding, complete construction documents, and submit for construction permits. Construction anticipated in FY24.","['Measure F', 'Measure T1', 'Clean California Local Grant Program']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2023-04/Turtle%20Island%20Monument%20Concept_0.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/civic-center-park-turtle-island-monument,
Civic Center Vision Plan Project,Planning,Planning,Facility,The project includes three facilities in the Civic Center Area:,"Phase I of this project was funded byMeasure T1 Phase 1. Phase II of the Civic Center Vision project aims to achieve design concept consensus for the Civic Center Area at the heart of Berkeley’s community. The goal of the project is to select a preferred design concept and funding plan by the summer of 2023, with input from community members, City commissions, and City Council. We continue to welcome input from people regarding the future of Berkeley’s Civic Center.Email civiccenter@berkeleyca.govto receive project updates and learn about upcoming opportunities for input. The adopted design concept for the Civic Center Vision project will embody the Vision for Berkeley’s Civic Center created collaboratively with the community and stakeholders during the first phase of the project (2019-20). Civic Center will be the heart of Berkeley’s community. Civic Center will be the prime space for civic life, culture, and the arts. It will reflect the city’s diverse identities, celebrate its history, and contribute to shaping its future. A place of shared resources and a platform for free expression accessible to all, Civic Center aims to manifest the city’s values, advance social justice, and demonstrate the power of true public space. Learn more about the vision developed in Phase I of the project in the Future of Berkeley’s Civic Center microsite or in the Civic Center Vision and Implementation Plan Report (Adopted September 2020): In future phases, this project will develop detailed architectural drawings, prepare permit applications, and solicit bids for construction contracts, with construction slated to begin in 2026.","['Measure T1', 'General Fund']","['Eleanor Hollander', 'Elmar Kapfer']","[['Eleanor Hollander', ""City Manager's Office"", 'civiccenter@berkeleyca.gov'], ['Elmar Kapfer', 'Supervising Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-02/20211227_City_of_Berkeley_012.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/civic-center-vision-plan-project,
Codornices Creek Restoration Project,Completed,Completed,Storm,Next to 1192 Kains Ave,"This is aMeasure T1 Phase 1 project. This project restored a critical segment of Codornices Creek between Kains and San Pablo Avenues by stabilizing eroding creek banks and removing falling concrete. The project incorporated bioengineered creek bank soils, provides habitat for the benefit of steelhead, a federally threatened species that migrate upstream to spawn in this watershed; songbirds, and other terrestrial and aquatic species. Approximately 180 linear feet of the concrete channel and culvert was returned to an earthen channel. The project also includes a new trash rack to prevent branches and debris from clogging the culvert underneath San Pablo Avenue from flooding San Pablo Avenue and downstream properties.","['Measure T1', 'Measure M', 'Prop 84 Department of Water Resources', 'State Transportation Tax']","['Joe Enke', 'Srinivas Muktevi']","[['Joe Enke', 'City Engineer', 'Public Works'], ['Srinivas Muktevi', 'Associate Civil Engineer', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img_CodornicesCreek01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/codornices-creek-restoration-project,
Corporation Yard Electrical Upgrade,Completed,Completed,Facility,"Corporation Yard, 1326 Allston Way","This is a Measure T1 Phase 1 Project. The City’s Corporation Yard houses hundreds of employees and over 100 city owned vehicles including trucks, street sweepers, and other heavy equipment. The Equipment Maintenance Building is considered a critical service building that provides service to all City vehicles. This project includes necessary upgrades to the electrical system and the replacement of the emergency generator.",['Measure T1'],['Titus Chen'],"[['Titus Chen', 'Assistant Civil Engineer', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img_CY-electrical.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/corporation-yard-electrical-upgrade,
