"Permit.Number","Permit.Type","Status","Date.Issued","Sub.Type","Property.Address","Valuation","APN","Contractor.s.Name","Contractor.s.Address","Work.Description"
"B2020-01114","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","1110 COLUSA Ave,
BERKELEY, CA 94707","0","061
260800300","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 5.59 KW PV solar panels (17 modules) with a 10 KW Energy Storage System."
"B2020-01123","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","869 REGAL Rd, BERKELEY, CA 94708","8202","063
296104300","A-TAYLOR MADE WINDOW","5327 JACUZZI ST #5E, RICHMOND, CA, CA94804","3 retrofit wood/clad windows  Fire zone 2"
"B2020-01124","Building Permit","Issued","4/8/2020","Residential | Alteration | 0","487 KENTUCKY Ave,
BERKELEY, CA 94707","0","062
294502303","N R G CLEAN POWER","7012 OWENSMOUTH AVE, CANOGA PARK, CA, CA91303-2005","Relocate three (3) modules to another part of the roof. Existing system installed under previous permit # B2019-04608. Fire Zone 2 Property."
"B2020-01135","Building Permit","Issued","4/2/2020","Residential | Alteration | 0","1419 SIXTY-SIXTH St,
BERKELEY, CA 94702","0","052
154001100","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 4.5 KW PV solar panels on the roof."
"B2020-01139","Building Permit","Issued","4/7/2020","Residential | Alteration | 0","2411 SACRAMENTO St,
BERKELEY, CA 94702","31700.00","055
191402800","TESLA ENERGY OPERATIONS","901 PAGE AVE, FREMONT, CA, CA94538-7341","Remove existing roof & install 7.48 KW solar roof."
"B2020-01141","Building Permit","Finaled","4/6/2020","Residential | Alteration | 1","1631 FAIRVIEW St,
BERKELEY, CA 94703","3000","052
154301000","SAN FRANCISCO DEVELOPERS INC","P O BOX 40668, SAN FRANCISCO, CA, CA94140","(Garage)-Replace drywall in kind, replace outlets, lights and switches,
replace door."
"B2020-01164","Building Permit","Issued","4/14/2020","Residential | Alteration | 0","1611 CHESTNUT St,
BERKELEY, CA 94702","2500","058
213801100","","","Replace (E) bedroom window in kind."
"B2020-01169","Building Permit","Issued","4/2/2020","Residential | Alteration | 0","1329 WARD St, BERKELEY, CA 94702","0","054
173900900","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 5.04 KW PV solar panels (21 modules) on the roof."
"B2020-01170","Building Permit","Issued","4/7/2020","Residential | Alteration | 0","1444 FIFTH St D, BERKELEY, CA 94710","0","059
232500605","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 2.1 KW PV solar panels (6 modules) on the roof."
"B2020-01174","Building Permit","Issued","4/7/2020","Residential | Alteration | 0","1444 FIFTH St A, BERKELEY, CA 94710","0","059
232500605","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 2.1 KW PV solar panels on the roof."
"B2020-01176","Building Permit","Issued","4/14/2020","Residential | Alteration | 0","906 CHANNING Way A, BERKELEY, CA 94710","0","056
193900200","FREEDOM FOREVER","6800 SIERRA CT STE Q, DUBLIN, CA, CA94568-2644","Install 4.64 KW PV solar panels (16 modules) on the roof."
"B2020-01181","Building Permit","Issued","4/7/2020","Residential | Alteration | 0","2704 SHASTA Rd,
BERKELEY, CA 94708","0","060
246906908","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 2.25 KW PV solar panels (6 modules) on the roof. Fire Zone 2 Property."
"B2020-01182","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","2706 SHASTA Rd,
BERKELEY, CA 94708","0","060
246906905","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 2.25 KW PV solar panels (6 modules) on the roof. Fire Zone 2 Property."
"B2020-01183","Building Permit","Issued","4/7/2020","Residential | Alteration | 0","2702 SHASTA Rd,
BERKELEY, CA 94708","0","060
246906801","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 2.25 KW PV solar panels (6 modules) on the roof. Fire Zone 2 Property."
"B2020-01184","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","1275 BERKELEY Way,
BERKELEY, CA 94702","0","057
208101400","CITY ELECTRIC SERVICE INC","50 ROLPH PARK DR, CROCKETT, CA, CA94525-1424","Install 1 new 2 meter 200 AMP overhead main service with 2-100 AMP main breaker panel. Ground 7 (E) receptacles."
"B2020-01188","Building Permit","Finaled","4/23/2020","Residential | Alteration | 0","1039 DELAWARE St,
BERKELEY, CA 94710","0","058
212701500","SYNERGY POWER","962 SUNSET DR, LIVERMORE, CA, CA94551-1826","Install 6.93 KW PV solar panels (21 modules) on the roof."
"B2020-01189","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","1518 HOLLY St, BERKELEY, CA 94703","41511.00","059
228501800","RENEWAL BY ANDERSEN OF SAN FRA","30800 SANTANA STREET, HAYWARD, CA, CA94544","Remove & replace eighteen (18) windows, same sizes & locations."
"B2020-01192","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","2820 PRINCE St COM, BERKELEY, CA 94705","9975","052
156320100","","","Remove (2) masonry chimney's"
"B2020-01194","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","1532 MCGEE Ave,
BERKELEY, CA 94703","8000","059
227801900","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","For Transfer Tax Rebate. Construct new shear  walls throughout entire crawlspace. Re-nail existing shear walls per plans.  Provide/install necessary framing, blocking, clipping, epoxy bolting and nailing for voluntary seismic upgrade."
"B2020-01200","Building Permit","Issued","4/16/2020","Residential | Alteration | 0","747 SPRUCE St,
BERKELEY, CA 94707","17500","063
295905200","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Engineered replacement of (E) section of failed brick and stucco retaining wall. - Property in Fire Zone 2"
"B2020-01203","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","3051 BENVENUE Ave,
BERKELEY, CA 94705","33500","052
156202400","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Engineered foundation replacement. Install all anchor bolts, hold-downs, blocking, UFRP connectors & shear walls For Transfer Tax Rebate."
"B2020-01205","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","2435 SACRAMENTO St,
BERKELEY, CA 94702","0","055
191402100","TRANSFORM ELECTRICAL & LIGHTING","PO BOX 170, CONCORD, CA, CA94522","Electrical upgrade to 200A service"
"B2020-01214","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","1168 KEITH Ave,
BERKELEY, CA 94708","0","063
298805207","TRANSFORM ELECTRICAL & LIGHTING","PO BOX 170, CONCORD, CA, CA94522","Electrical Service Upgrade 200A
Installing new meter-main panel on the garage wall as approved by PG&E.
Installing a 200A Load Center in the basement and relocating the circuits
from existing 100A sub-panel, converted into a junction box"
"B2020-01216","Building Permit","Issued","4/16/2020","Residential | Alteration | 0","1640 BERKELEY Way,
BERKELEY, CA 94703","48000","057
207002500","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Remove/replace existing rear perimeter foundation per plans and add bolts, blocking, shear walls & framing, as required and in accordance with Chapter A3 and seismic retrofit engineered plan."
"B2020-01221","Building Permit","Issued","4/23/2020","Commercial | Alteration | 1","2150 SHATTUCK Ave,
BERKELEY, CA 94704","81190","057
202600201","","","Remove and replace in-grade light fixtures to T24 compliant LED fixtures that are currently installed at the bases of the pillars on the ground floor exterior."
"B2020-01226","Building Permit","Issued","4/14/2020","Residential | Alteration | 0","1639 SIXTY-SECOND St,
BERKELEY, CA 94703","14140.00","052
152300700","RENEWAL BY ANDERSEN OF SAN FRA","30800 SANTANA STREET, HAYWARD, CA, CA94544","Remove & replace six (6) windows, same sizes & locations."
"B2020-01228","Building Permit","Issued","4/16/2020","Residential | Alteration | 0","1437 GREENWOOD Ter,
BERKELEY, CA 94708","16000","058
224300109","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Remove and replace deck beam. Provide and install new structural hardware per structural plans. Fire zone 2"
"B2020-01235","Building Permit","Issued","4/16/2020","Residential | Alteration | 0","2133 SACRAMENTO St,
BERKELEY, CA 94702","0","056
200002500","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 1.92 KW PV solar panels (8 modules) on the roof."
"B2020-01245","Building Permit","Issued","4/16/2020","Residential | Alteration | 0","2141 WOOLSEY St,
BERKELEY, CA 94705","0","052
155500300","HARRY CLARK PLUMBING & HEATING","3026 BROADWAY, OAKLAND, CA, CA94611","Replace furnace and ducts. Replace water heater with tankless at same interior location. Replace galvanized pipe with copper. Replace gas lines and install earthquake shutoff valve."
"B2020-01248","Building Permit","Issued","4/28/2020","Residential | Alteration | 1","456 VINCENTE Ave,
BERKELEY, CA 94707","55000","062
290301300","BRUCKER BUILDING CO.","832 PARK WAY, EL CERRITO, CA, CA94530-3007","Remodel Lower Floor Bath & Laundry Room (126 Sq. Ft.) with exterior window changes. Voluntary Structural Upgrade of Garage Roof Framing & Garage Floor Framing."
"B2020-01255","Building Permit","Issued","4/30/2020","Residential | Alteration | 1","2414 DWIGHT Way,
BERKELEY, CA 94704","76000","055
183801400","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Remove and replace the foundation under the original house per plans.
Add two new transverse footings per plans. Construct 6 isolated concrete pier pads in the crawl space per plans."
"B2020-01263","Building Permit","Issued","4/21/2020","Residential | Addition | 0","1636 CHESTNUT St,
BERKELEY, CA 94702","0","059
229203000","","","200 AMP Panel upgrade."
"B2020-01269","Building Permit","Issued","4/21/2020","Residential | Alteration | 0","691 VINCENTE Ave,
BERKELEY, CA 94707","0","062
289001300","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 7.6 KW PV solar panels (29 modules) on the roof with a new 100 AMP Subpanel, a 9.8 KW Energy Storage System & a 5.0 KW Battery Backup. Fire Zone 2 Property."
"B2020-01273","Building Permit","Issued","4/21/2020","Commercial | Alteration | 0","2929 SEVENTH St,
BERKELEY, CA 94710","0","053
164300102","PENNINGTON PLUMBING","3008 CAMBY RD, ANTIOCH, CA, CA94509-5518","Installation of EBMUD required backflow device at EBMUD meter location at building entrance on Anthony Street.  Not located in in the R.O.W where a Public Works permit would be required."
"B2020-01275","Building Permit","Issued","4/21/2020","Residential | Alteration | 0","2610 COLLEGE Ave,
BERKELEY, CA 94704","0","055
184500800","RAZO PLUMBING","409 EVELYN AVE APT 303, ALBANY, CA, CA94706-1370","Replace 4"" cast iron drain pipe, from basement to kitchen.  Replace  broken kitchen drain pipe, install new p-trap and  stand  pipe in laundry."
"B2020-01277","Building Permit","Issued","4/21/2020","Residential | Alteration | 0","7 COLUMBIA Cir,
BERKELEY, CA 94708","0","060
248502601","BERKELEY ELECTRIC INC","909 CAMELIA ST, BERKELEY, CA, CA94710","MPU from 100A to 200A same location meets PG& E Requirements."
"B2020-01293","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","2268 CEDAR St,
BERKELEY, CA 94709","12800.00","058
218400200","RENEWAL BY ANDERSEN OF SAN FRA","30800 SANTANA STREET, HAYWARD, CA, CA94544","Remove & replace one (1) patio door, same sizes & locations."
"B2020-01296","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","7 SAN MATEO Rd, BERKELEY, CA 94707","0","061
257801800","BERKELEY ELECTRIC INC","909 CAMELIA ST, BERKELEY, CA, CA94710","200 AMP panel upgrade. New 100 AMP 40-sp subpanel."
"B2020-01299","Building Permit","Issued","4/28/2020","Residential | Alteration | 0","2424 RUSSELL St,
BERKELEY, CA 94705","0","052
157100200","GUERRERO ELECTRIC INC","2127 6TH STREET, BERKELEY, CA, CA94710","Upgrade Main service electrical panel to 200Amps"
"B2020-01307","Building Permit","Issued","4/30/2020","Residential | Alteration | 0","1401 NORTHSIDE Ave,
BERKELEY, CA 94702","11892.00","060
241706000","CENTRAL BAY ROOFING","1814 CLEMENT AVE, ALAMEDA, CA, CA945011314","Reroof-Tear off roof, install 2mm torch base sheet, and modified bitumen membrane."
"B2020-01332","Building Permit","Issued","4/30/2020","Residential | Alteration | 0","1240 CORNELL Ave,
BERKELEY, CA 94706","13714.00","060
240701400","RENEWAL BY ANDERSEN OF SAN FRA","30800 SANTANA STREET, HAYWARD, CA, CA94544","Remove & replace three (3) livingroom bay windows, same sizes & locations."
"B2018-03537","Building Permit","Issued","5/22/2020","Commercial | Alteration | 4","1625 SHATTUCK Ave,
BERKELEY, CA 94709","25000","058
217802900","ERICSSON INC","6300 LEGACY DR, PLANO, TX, TX75024-3607","Remove 6 antennas and install 7 antennas. Remove 6 radios and install 12 radios and add 3 surge suppressors."
"B2019-01384","Building Permit","Issued","5/19/2020","Residential | Alteration | 1","1474 SEVENTH St,
BERKELEY, CA 94710","3000","059
232700900","","","Repair ALL code violations from housing reports H2018-00439, H2018-00490, H2018-00491:
Replaced windows, wall heaters, deck repair, electrical, water heater and remove laundry."
"B2019-01573","Building Permit","Issued","5/28/2020","Residential | Addition/Alteration
| 6","1884 THOUSAND OAKS Blvd, BERKELEY, CA 94707","1250000","062
289903000","EDEN ROC CO","P O BOX 7003, CORTE MADERA, CA, CA94976","Proposed addition to main residence totaling 1,135 SF. Conversion of existing 3-car garage into habitable space.  New A.D.U. at portion of lower level with 320 SF addition.  new deck, 2 new balconies and 2 new exterior stairs at rear yard.
Maintaining a new 1-car garage. AUP #ZP2018- 0141.  Must Comply with Fire Zone 2 Requirements."
"B2019-01950","Building Permit","Issued","5/5/2020","Mixed Use | New | 6","2628 SHATTUCK Ave,
BERKELEY, CA 94704","7776917","055
181900102","WEST BUILDERS","120 RAILROAD AVE, PT RICHMOND, CA, CA94801-3924","Phase II:  Architectural and Structural Superstructure for new mixed use 6-story building including 78 Dwelling Units, Commercial Space, Office Suite and Parking for 25 spaces."
"B2019-02971","Building Permit","Issued","5/12/2020","Commercial | Alteration | 1","2600 TENTH St, BERKELEY, CA 94710","20000","054
176401205","","","Replace (E) FRP screening, swap (3) antenna's, swap (3) mounts, install (3) new radio units, remove
(3) TMA's & diplexer and install (1) new TMA. Swap
(E) DUSYL's with new BB6630. Install (1) new BB6630, install (3) new hybrid cables, remove (E) radio units & diplexers"
"B2019-03325","Building Permit","Issued","5/26/2020","Residential | Addition | 4","2026 LOS ANGELES Ave, BERKELEY, CA 94707","350000","061
256300500","JETTON CONSTRUCTION, INC.","2110 BYRON ST, BERKELEY, CA, CA94702","Second story expansion and new siding, new windows, and new bathroom.  Must Comply with Fire Zone 2 Requirements."
"B2019-03526","Building Permit","Issued","5/21/2020","Residential | Alteration | 0","2994 KING St, BERKELEY, CA 94703","2000","053
160800400","","","Housing Report case #H2016-06701 items 13,14,16,17:  Replace water heater, repair 4 2x4 studs, repair stucco, sheetrock, repair rotted tread and decking, install exterior door"
"B2019-03704","Building Permit","Issued","5/15/2020","Residential | New | 6","2352 SHATTUCK Ave,
BERKELEY, CA 94704","9490461","055
189501805","","","North Building Logan Park PHASE I: Concrete structure, grading, plumbing & electrical for concrete structure (3-story)"
"B2019-03900","Building Permit","Issued","5/14/2020","Residential | Alteration | 1","1620 CEDAR St,
BERKELEY, CA 94703","26800","058
215502800","","","Kitchen, Laundry and Master Bath remodel. Non- load bearing wall removed, master bath window replace with new size."
"B2019-03969","Building Permit","Issued","5/26/2020","Residential | Alteration | 1","3103 KING St, BERKELEY, CA 94703","5000","052
154600100","CAL COAST WINDOW & DOOR","5673 W LAS POSITAS BLVD, PLEASANTON, CA, CA94588","In fill one window and replace 3 existing windows in kind."
"B2019-04126","Building Permit","Issued","5/11/2020","Commercial | Demolition | 1","1010 CARLETON St,
BERKELEY, CA 94710","3000","054
174501804","XL CONSTRUCTION CORPORATION","851 BUCKEYE CT, MILPITAS, CA, CA95035-7408","Demolish Structure 1,000 sq ft - used for storage and repair shop. Suite DG"
"B2019-04127","Building Permit","Issued","5/11/2020","Commercial | Demolition | 1","1010 CARLETON St,
BERKELEY, CA 94710","18000","054
174501804","XL CONSTRUCTION CORPORATION","851 BUCKEYE CT, MILPITAS, CA, CA95035-7408","Demo Structure 6000 sq ft used  for storage and smog test shop, Suite AB"
"B2019-04128","Building Permit","Issued","5/11/2020","Commercial | Demolition | 1","1014 CARLETON St,
BERKELEY, CA 94710","10500","054
174501804","XL CONSTRUCTION CORPORATION","851 BUCKEYE CT, MILPITAS, CA, CA95035-7408","Demolish Structure 3,500 sq ft. structure was used for storage and auto repair"
"B2019-04129","Building Permit","Issued","5/11/2020","Commercial | Demolition | 1","2700 TENTH St, BERKELEY, CA 94710","42000","054
174501804","XL CONSTRUCTION CORPORATION","851 BUCKEYE CT, MILPITAS, CA, CA95035-7408","Demolish Structure 14,000 sq ft, strictly used for storage of building materials and accessories."
"B2019-04130","Building Permit","Issued","5/11/2020","Commercial | Demolition | 1","1016 CARLETON St,
BERKELEY, CA 94710","7500","054
174501804","XL CONSTRUCTION CORPORATION","851 BUCKEYE CT, MILPITAS, CA, CA95035-7408","Demolish Structure 2,500 sq ft. Structure used for storage."
"B2019-04131","Building Permit","Issued","5/12/2020","Commercial | New | 4","2700 TENTH St, BERKELEY, CA 94710","300000","054
174501804","XL CONSTRUCTION CORPORATION","851 BUCKEYE CT, MILPITAS, CA, CA95035-7408","New open parking lot with lighting appx 84 spaces ."
"B2019-04570","Building Permit","Issued","5/28/2020","Residential | Alteration | 1","1697 VISALIA Ave,
BERKELEY, CA 94707","108000","062
290302200","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Dry rot repair at driveway and select exterior walls. Includes concrete foundation work and rebuilding of concrete stairs at back to match (E).  Must Comply with Fire Zone 2 Requirements."
"B2019-04776","Building Permit","Issued","5/12/2020","Residential | Addition/Alteration
| 4","1612 STUART St,
BERKELEY, CA 94703","55000","053
167402200","","","New one story 69sf addition to (e) SFR at rear of house.  The new addition will contain a new powder room and laundry room.  Work to include a new 325sf deck (to replace existing) and minor improvements to the (e) kitchen."
"B2019-04885","Building Permit","Issued","5/14/2020","Residential | New | 4","1612 SPRUCE St,
BERKELEY, CA 94709","360000","058
218300300","","","New detached accessory dwelling unit 746sqft"
"B2019-04898","Building Permit","Issued","5/19/2020","Residential | Addition/Alteration
| 4","1490 GRIZZLY PEAK Blvd, BERKELEY, CA 94708","200000","060
249003000","C L O CONSTRUCTION","494 WESTERN DR, RICHMOND, CA, CA94801","Convert 698 sq. ft. of unexcavated crawl space into conditioned living space.  Extend communicating stair to serve new space.  Voluntary Structural Strengthening.  Must Comply with Fire Zone 2 Requirements."
"B2019-04939","Building Permit","Issued","5/19/2020","Residential | Alteration | 0","1317 CORNELL Ave,
BERKELEY, CA 94702","350","060
240102600","","","Install front stairway"
"B2019-04953","Building Permit","Issued","5/27/2020","Residential | Alteration | 0","1366 ADA St, BERKELEY, CA 94702","0","060
242305500","","","Install 3.597 KW PV solar panels (11 modules) on the roof."
"B2019-05014","Building Permit","Issued","5/22/2020","Residential | Alteration | 1","1636 SEVENTH St,
BERKELEY, CA 94710","70000","058
212000901","HENGDA CONSTRUCTION INC","40 EDGAR PL, SAN FRANCISCO, CA, CA94112-2353","Remodel existing four bedroom one bathroom to three bedroom two bathroom, Replace window with new sliding glass door, fill in one window at rear with new deck, add window in stairwell, relocate side door and covered porch/landing, replace door with window and new tankless water heater."
"B2019-05082","Building Permit","Issued","5/19/2020","Residential | New | 4","485 VINCENTE Ave,
BERKELEY, CA 94707","60000","062
290704901","LAWRENCE CONSTRUCTION INC","1 HARBOUR WAY SOUTH, RICHMOND, CA, CA94804","Construct new garage and entry steps. (See demo on B2019-05083.)  Must Comply with Fire Zone 2 Requirements."
"B2019-05083","Building Permit","Issued","5/20/2020","Residential | Demolition | 1","485 VINCENTE Ave,
BERKELEY, CA 94707","15000","062
290704901","LAWRENCE CONSTRUCTION INC","1 HARBOUR WAY SOUTH, RICHMOND, CA, CA94804","Demo (E) 166 SF garage. (See rebuild on B2019- 05082.)  Fire zone 2"
