Name,Status,Type,Location,Description,Funding Source,Project Team,Project Team Info,Center
Berkeley Municipal Pier-Ferry Project,Completed,Other Infrastructure,Berkeley Municipal Pier,"This is aMeasure T1Phase 1 project. The City is working with a consultant to conduct a Structural Condition Assessment / Restoration Feasibility Study for the currently-closed Berkeley Municipal Pier. This Restoration Feasibility Study will initially: (1) evaluate the existing structural integrity of the Pier, (2) develop conceptual restoration alternatives to facilitate reopening the Pier for public use in the most cost effective manner, (3) provide recommendations on rehabilitation priorities, (4) identify environmental and regulatory permitting requirements (5) determine cost estimates, and (6) depending on the results of the structural condition evaluation, the Study will explore the feasibility of ferry services at the Pier, and any ferry-related additional appurtenances that might be needed. The assessment is complete and will be a guiding document to ultimately identity the feasibility and magnitude of improvements to the Berkeley’s Berkeley Municipal Pier. The Pier-Ferry Planning Study public process involved a community process in the form of four (4) Focus groups in early January, 2021 and three large Community Workshops on January 21, 2021, August 10, 2021, and October 27, 2021. The project was presented at the City Council Worksession on February 16, 2021, followed by a WETA Board of Directors meeting on March 4, 2021. The presentation slides and breakout group notes for these meetings can be found on this webpage below. An online questionnaire for the project was conducted to seek broader community feedback. Below is the questionnaire results report. The goal of these meetings was to receive extensive community feedback on the project and incorporate feedback into the preliminary concepts for the project. The goal is to develop a final recommendation for the community, City Council and the WETA Board by the end of the 2021 calendar year. If the concept and design funding are approved by the City and WETA,the City and WETA would execute a second MOU for design and environmental studies. The Design Phase is anticipated take 2 to 3 years. The Berkeley Municipal Pier was closed in July, 2015 due to visually observed structural problems on the underside of the concrete decking and pilings. In 2017, the City retained a structural engineering firm (GHD) to assess the problem and develop a range of potential solutions and costs. In 2018, the Water Emergency Transportation Authority (WETA) staff-initiated discussions with City staff regarding the possibility of new ferry service at the Berkeley Waterfront. During those initial discussions, WETA and City staff realized that it could be cost-effective to investigate a single pier that would provide two uses – ferry service and public recreation. In 2019, WETA and the City Council authorized a Memorandum of Understanding Agreement (MOU) to jointly fund a planning study to evaluate the feasibility of a dual-purpose pier. If the answer is yes, the two agencies would execute amendments to the MOU to fund the next phases of the project (design, construction, and operations/maintenance). For background details, see the Council Report approval of the MOU on March 12, 2019.","['Marina Fund', 'Measure T1', 'Capital Improvement Fund', 'WETA Grant']","['Nelson Lam', 'Roger Miller', 'Ali Endress']","[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront'], ['Roger Miller', 'Senior Management Analyst', 'Parks, Recreation & Waterfront'], ['Ali Endress', 'Waterfront Manager', 'Parks, Recreation & Waterfront']]",[]
Berkeley Unified School District (BUSD) Workforce Housing Development ,Planning,Affordable Housing,1701 San Pablo Avenue,"The Berkeley Unified School District Board of Education unanimously approved the Berkeley Adult School (BAS) front parking lot, along San Pablo Avenue, as the site for the District’s Educator Workforce Housing at the February 17, 2021 School Board meeting. An optimistic timeline puts the completion date for BUSD workforce housing availability in 2025. This development could yield up to 110-120 housing units, depending on the design. Educator Workforce Housing will help the District to recruit and retain quality educators, both certificated and classified employees.",['Measure O'],"['Jenny Wyant', 'Satellite Affordable Housing Associates\xa0']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates\xa0', '(510) 647-0700', '']]",[]
Berkeley Waterfront Bike Park Conceptual Design Project,Planning,Park,"Between University Avenue and the San Francisco Bay Trail (north/south), and between Frontage Road and Marina Boulevard (east/west).","This project will collect community input to inform a conceptual design for a bike park near the entrance to the Berkeley Marina. The goal is for this bike park to be a model for inclusivity, healthy activity, and fun as a part of the overall waterfront experience. The conceptual design should serve for mountain bikers, BMX bikers, adaptive cyclists, youth, and young adults, and is envisioned to include progressive features, challenge elements, and alternate lines that encourage users to grow their skills safely. A community process has begun in order to engage the bike community to inform a conceptual design for the project. The initial round of public outreach took place in Spring 2022. It involved a focus group, community questionnaire, and workshop, along with public comments shared via email and phone. The initial round of feedback has been synthesized and was translated into two conceptual design alternatives shared with the community on September 29, 2022.The project team received specific feedback on each concept at the workshop. The conceptual design determined through this process can be used as a basis for future phases which include: funding, design, construction, programming, and ongoing management. In late fall (this winter), we will host a third community workshop to review a proposed conceptual design. Sign up to receive emails about opportunities to engage with the bike park design project: Stay Involved RRM Design Group – Landscape Design & Engineering Wormhoudt Inc. – Bike Park Design",['Marina Fund'],['Ali Endress'],"[['Ali Endress', 'Waterfront Manager', 'Parks, Recreation & Waterfront']]",[]
Berkeley Way Apartments and Hope Center,Planning,Affordable Housing,2012 Berkeley Way,"Located in the heart of downtown Berkeley, the site includes two side-by-side developments: BRIDGE’s Berkeley Way Apartments with 89 affordable homes and services for low- and very low- income families; and the Hope Center, with 53 permanent supportive housing apartments, a 32-bed homeless shelter, 12 transitional beds for homeless veterans, a community kitchen and wrap-around services for mental health, substance abuse, job training and social activities.","['Measure O', 'Housing Trust Fund', 'Measure U1']","['Jenny Wyant', 'Bridge Housing', 'Berkeley Food and Housing Project (BFHP)']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Bridge Housing', '(415) 989-1111'], ['Berkeley Food and Housing Project (BFHP)', '(510) 649-4965']]",[]
Bioswale at Rose and Hopkins,Construction,Storm,At Rose and Hopkins intersection,The intersection contained a large concrete traffic island. This location was identified as an opportunity to install a bio-swale while at the same time slightly altering the shape of the island to provide traffic calming while maintaining emergency vehicle access to the residences and to transit through this part of the City. This project was funded by Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]","[37.87652069155654, -122.29158985470886]"
Blake Apartments ,Completed,Affordable Housing,2527 San Pablo Avenue,"Blake Apartments will be the new construction of an affordable housing community for families and people with special needs. The six-story building will provide 63 homes as follows: 21 studio units, eight one-bedroom units, 33 two-bedroom units and one three-bedroom manager’s unit. Twelve homes are prioritized for people with an intellectual or developmental disability.","['Measure O', 'State Local Housing Trust Fund']","['Jenny Wyant', 'Satellite Affordable Housing Associates']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates', '(510) 647-0700', '']]",[]
Cazadero Dining Hall & ADA Improvements,Construction,Facility,"5385 Cazadero Hwy, Cazadero, CA","This is aMeasure T1Phase 2 project. Cazadero Camp is a 17-acre City-owned property in Sonoma County, outside Cazadero, CA. The camp is leased to the Berkeley-based non-profit Cazadero Performing Arts Camp (CPAC). As part of the City’s lease agreement, the City agreed to fund $400,000 of needed facility improvements, with CPAC funding the remaining $800,000. This project will make improvements to the Dining Hall roof and lighting, as well as ADA access. The project will start with roof replacement later this year. Improvements include the upgrades to the Dining Hall roof and electrical and accessibility improvements at Cazadero Camp. The Camp tenant pays a significant portion of funds for facility maintenance; T1 funds leverage this funding to maintain and improve the camp. These City-funded improvements are included in the lease agreement with Cazadero Performing Arts Camp.",['Measure T1'],['Molly Sokhom'],"[['Molly Sokhom', 'Assistant Management Analyst', 'Parks, Recreation & Waterfront']]","[38.5240317018628, -123.08769647345999]"
Cedar Rose Park Playground Renovation,Design,Park,"Cedar Rose Park,1300 Rose Street, Berkeley, CA 94702","Cedar Rose Park was developed along a portion of the abandoned Santa Fe Railroad right-of-way, over a portion of the Bay Area Rapid Transit (BART) tunnel between North Berkeley and El Cerrito Bart Stations, and additional parcels purchased by the City of Berkeley. The park features a multi-purpose turf field, basketball courts, tennis courts, volleyball court, an ages 2-5 enclosed playground, and ages 5-12 playground, picnic area and a public restroom. Proposed improvements include renovation and replacement of the Age 5-12 playground area. This project is currently in the beginning planning phase. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to Cedar Rose Park Improvements email list” and provide your preferred contact information.",['Measure F'],"['Evelyn Chan', 'Wendy Wellbrock']","[['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront'], ['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Cesar Chavez Park Restroom Project ,Planning,Park,Cesar Chavez Park is located on the north portion of the Berkeley Marina. The proposed area for the public restroom is along the north side of Spinnaker Way where currently only portable toilets are available to the public.,"This is a Measure T1 Phase 2 project. The Cesar Chavez Restroom Project includes the following: Currently the project is in the pre-design phase to solicitate for a design consultant to prepare the plans and specifications. Spinnaker Way has recently undergone major pavement, drainage and accessibility improvements where a sewer lateral was installed to accommodate the restroom building at this location.",['Measure T1'],['Jesus Espinoza '],"[['Jesus Espinoza ', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",[]
City-wide Irrigation System,Planning,Park,City-wide at various locations,"This is a Measure T1 Phase 1 Project. There are approximately 80 irrigation controllers throughout Berkeley that the City operates to water and maintain our parks, fields and medians. Currently, each controller is individually programmed, monitored daily by City staff, and adjusted depending upon anticipated weather conditions. The new computer‐based irrigation system will help the City to effectively manage water across Berkeley’s irrigation systems in a centralized location, which will conserve water and control costs.",['Measure T1'],['Bruce Pratt'],"[['Bruce Pratt', 'Parks Superintendent', 'Parks, Recreation & Waterfront']]",[]
Citywide Restroom Assessment Project,Completed,Other Infrastructure,Citywide,"This is a Measure T1 Phase 1 project. On June 27, 2017, Council approved a Citywide Restroom Needs Assessment Project for Phase 1 of the Measure T1 bond program. The project was designed to perform an evaluation of existing public restrooms, a community input process, and research into ecologically friendly restrooms with the goal of providing recommended locations and types and conceptual designs for upgrades of existing and new public restroom solutions in Berkeley. From January 2019 through October 2020, the consultant (Hyphae Design Laboratory) conducted a data collection, mapping, and community engagement process that resulted in a Citywide Restroom Study called Berkeley WASH Assessment. The study contains an Executive Summary, Research Methodology and Findings, and Recommendations for improved public sanitation throughout Berkeley for planning purposes.",['Measure T1'],['Roger Miller'],"[['Roger Miller', 'Senior Management Analyst', 'Parks, Recreation & Waterfront']]",[]
Civic Center Park Turtle Garden,Planning,Park,"Civic Center Park,2151 Martin Luther King Jr. Way, Berkeley, CA 94704","This is aMeasure T1Phase 2 project. Martin Luther King Jr. Civic Center Park is located in Downtown Berkeley and is part of the Civic Center Historic District, which is listed on the National Register for Historic Places. The Fountain is in the center of the terrace. It is a 50-foot diameter circular concrete fountain composed of a large outer pool with two tiered levels that step up to a cylindrical core where water jets and colored lights were once mounted. It was decommissioned in the mid-1970s and is planned to be converted into a garden with bronze Loggerhead Turtle sculptures and medallions in honor of the Native American community. A conceptual design was presented to the Landmarks Preservation and Civic Arts Commissions for feedback in November and December 2022 in preparation for an application for a Structural Alteration Permit to the Landmarks Preservation Commission.To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to MLK Jr. Civic Center – Turtle Garden Improvements email list” and provide your preferred contact information.","['Measure F', 'Measure T1', 'Clean California Local Grant Program']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Civic Center Vision Plan Project,Planning,Facility,The project includes three facilities in the Civic Center Area:,"Phase I of this project was funded byMeasure T1 Phase 1. Phase II of the Civic Center Vision project aims to achieve design concept consensus for the Civic Center Area at the heart of Berkeley’s community. The goal of the project is to select a preferred design concept and funding plan by the summer of 2023, with input from community members, City commissions, and City Council. We continue to welcome input from people regarding the future of Berkeley’s Civic Center. Join us at our City Councilworksession on March 21, 2023 and review the design concept report. Email civiccenter@cityofberkeley.info to receive project updates and learn about upcoming opportunities for input. The adopted design concept for the Civic Center Vision project will embody the Vision for Berkeley’s Civic Center created collaboratively with the community and stakeholders during the first phase of the project (2019-20). Civic Center will be the heart of Berkeley’s community. Civic Center will be the prime space for civic life, culture, and the arts. It will reflect the city’s diverse identities, celebrate its history, and contribute to shaping its future. A place of shared resources and a platform for free expression accessible to all, Civic Center aims to manifest the city’s values, advance social justice, and demonstrate the power of true public space. Learn more about the vision developed in Phase I of the project in the Future of Berkeley’s Civic Center microsite or in the Civic Center Vision and Implementation Plan Report (Adopted September 2020): In future phases, this project will develop detailed architectural drawings, prepare permit applications, and solicit bids for construction contracts, with construction slated to begin in 2026.","['Measure T1', 'General Fund']","['Eleanor Hollander', 'Elmar Kapfer']","[['Eleanor Hollander', ""City Manager's Office"", 'civiccenter@cityofberkeley.info'], ['Elmar Kapfer', 'Supervising Civil Engineer ', 'Public Works']]",[]
Codornices Creek Restoration Project,Planning,Storm,Next to 1192 Kains Ave,"This is aMeasure T1 Phase 1 project. This project restored a critical segment of Codornices Creek between Kains and San Pablo Avenues by stabilizing eroding creek banks and removing falling concrete. The project incorporated bioengineered creek bank soils, provides habitat for the benefit of steelhead, a federally threatened species that migrate upstream to spawn in this watershed; songbirds, and other terrestrial and aquatic species. Approximately 180 linear feet of the concrete channel and culvert was returned to an earthen channel. The project also includes a new trash rack to prevent branches and debris from clogging the culvert underneath San Pablo Avenue from flooding San Pablo Avenue and downstream properties.","['Measure T1', 'Measure M', 'Prop 84 Department of Water Resources', 'State Transportation Tax']","['Joe Enke', 'Srinivas Muktevi']","[['Joe Enke', 'City Engineer', 'Public Works'], ['Srinivas Muktevi', 'Associate Civil Engineer', 'Public Works']]",[]
Corporation Yard Electrical Upgrade,Completed,Facility,"Corporation Yard, 1326 Allston Way","This is a Measure T1 Phase 1 Project. The City’s Corporation Yard houses hundreds of employees and over 100 city owned vehicles including trucks, street sweepers, and other heavy equipment. The Equipment Maintenance Building is considered a critical service building that provides service to all City vehicles. This project includes necessary upgrades to the electrical system and the replacement of the emergency generator.",['Measure T1'],['Titus Chen'],"[['Titus Chen', 'Assistant Civil Engineer', 'Public Works']]",[]
Corporation Yard Facility Improvements ,Completed,Facility,1326 Allston Way,"This is a Measure T1 Phase 2 project. The Corporation Yard is home for hundreds of employees that help provide services that help make the City a better and safer place for those who live, visit, or commute in it. This project consists of various upgrades to multiple facilities within the Corporation Yard, including paving, site drainage, roof repairs, electrical and mechanical upgrades, and renovations to the restrooms, training, locker rooms.The Green Room upgrade is in the final design stage and the next deliverable will be a permit set of drawings, specifications, and cost estimate. The H building is in the early design stage and the next step will be a 30% set of drawings.",['Measure T1'],"['Elmar Kapfer ', 'Titus Chen']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Titus Chen', 'Assistant Civil Engineer ', 'Public Works']]",[]
Development of African American Holistic Resource Center ,Design,Facility,1890 Alcatraz Avenue,"This is a Measure T1 Phase 2 project. The African American Holistic Resource Center (AAHRC) will be a facility to house culturally relevant services to help eliminate inequities within Berkeley's African American Community. The facility is located in South Berkeley. The vision for theAfrican American Holistic Resource Center is to hostservices to benefit the community with education, employment, health, mental health, and housing advocacy and supports. The contract for architectural services for the conceptual design is currently in-process.","['Measure T1', 'General Fund']","['Isaac Carnegie', 'Teri Mathers ']","[['Isaac Carnegie', 'Associate Civil Engineer ', '510-981-6432'], ['Teri Mathers ', 'Cumming Management Group ', '510-906-2123']]",[]
Dwight Way/California Street Intersection Project,Planning,Transportation,Intersection ofDwight Way and California Street,"The purpose of this project is to increase safety at the Dwight Way/California Street intersection, particularly for pedestrians and bicyclists. There has been a history of collisions and near-collisions at this intersection. The project originated as a Council Referral in October 2017 to improve the safety of the intersection, particularly for pedestrians and bicyclists. The project was budgeted in late 2018, and City staff prepared a conceptual design in 2019. Design concepts were developed by City traffic engineering staff in 2019 but stopped shy of detailed design due to staffing shortages. In response to recent increasing public interest to advance this project in an expedited manner, City staff restarted the design in April 2021 by utilizing a limited window of staff availability and by reprioritizing project commitments. Safety issues and proposed work at the Dwight/California intersection were discussed at events with the public and nearby residents and in Transportation Commission meetings in 2018 and 2019. The City hosted an online community meeting May 12, 2021. Two design alternatives were presented, and City staff proceeded with the design of Alternative 1, which includes a median refuge island on Dwight Way.Construction of project elements will be phased as follows: (1) pedestrian improvements, consisting of sidewalk extensions, directional curb ramps, a relocated western crosswalk, and intersection striping; (2) a temporary, “quick build” median refuge island on Dwight Way and evaluation of traffic data to determine if additional traffic controls are warranted; and (3) construction of a more permanent median refuge island, which is dependent on the results of the traffic evaluation, and repaving the intersection roadway, applying a pavement coating on a portion of California Street north of the intersection, reconfiguring the southbound bike lane to improve safety, and installing new pavement markings. Phase 1: The City completed Phase 1, which included pedestrian improvements, in December 2021. Phase 2: The City completed Phase 2, which included a temporary median refuge island and associated pavement marking and signage improvements, in March 2022. Staff have evaluated resulting traffic data and will present the findings in the community meeting on June 1, 2022. Phase 3: City staff are working to address community comments on the temporary median, including size and shape. Once these comments are addressed, the City will construct a more permanent median refuge island, repave the intersection roadway, apply a pavement coating on a portion of California Street north of the intersection, reconfigure the southbound bike lane to improve safety, and install new pavement markings.  Dwight Way is a two-way, two-lane arterial street with high traffic volumes, including AC Transit buses. California Street is a two-way, two-lane collector street and is part of City’s low-stress bikeway network; in particular, it is used by pedestrians and cyclists traveling to/from Longfellow Middle School.",[],['Kenneth Jung'],"[['Kenneth Jung', 'Project Manager']]",[]
Fire Station No. 2 Renovation,Completed,Facility,2029 Berkeley Way,"This is a Measure T1 Phase 2 project. The City of Berkeley’s Fire Station No. 2 is a 12,800 square foot, two-story fire station originally built in 1965 and retrofitted in 1998 to meet essential service standards. The station is comprised of apparatus storage and living quarters for fire staff. This project will upgrade the building’s HVAC and electrical systems, and improve security features. Project is in the design phase. Most recently, an ADA design was added after discussions with the Building Department and Fire Department. The next deliverable is a 30% drawing set, list of specifications, and cost estimate.",['Measure T1'],"['Elmar Kapfer ', 'Nick Cartegna']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Nick Cartegna', 'Associate Civil Engineer ', 'Public Works']]",[]
Fire Station No. 6 Renovation,Design,Facility,999 Cedar Street,"This is a Measure T1 Phase 2 project. Fire Station 6 is located on Cedar Street and was rebuilt in 1999 to meet essential service standards. This project involves windows, mechanical, electrical, and HVAC system upgrades to make the building more energy efficient. The project is currently in the design phase. Most recently, an ADA design was added after discussions with the Building Department and Fire Department. The next deliverable is a 30% drawing set, list of specifications, and cost estimate.",['Measure T1'],"['Elmar Kapfer ', 'Ingrid Lin']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Ingrid Lin', 'Associate Civil Engineer ', 'Public Works']]",[]
Frances Albrier Community Center Replacement Project,Design,Facility,"Frances Albrier Community Center in San Pablo Park, 2800 Park Street, Berkeley, CA 94702","This is aMeasure T1Phase 1 project. Located at San Pablo Park, the Frances Albrier Community Center is a place where all community members can enjoy social, educational, and recreational activities. The facility currently offers recreation classes, childcare programs, and reservable spaces for private events. This project was for the planning and conceptual design of an upgrade to the Frances Albrier Community Center to increase accessibility, meet modern standards to become a Care and Shelter facility for a more resilient Berkeley, and provide a modern facility to meet the changing needs of our community now and for the future. The City is currently seeking opportunities for funding and grants to develop the design and complete construction. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the Frances Albrier Community Center Replacement Project email list” and provide your preferred contact information.",['Measure T1'],"['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
FY 2014 Street & Watershed Improvements ,Planning,Street,"Various streets throughout Berkeley including Reconstruction or Resurfacing of all or part of: Wildcat Canyon Road, installing bio-swale in the traffic circle at the intersection of Spruce and Vine Streets, the underground stormwater detention basin on Eunice Street just east of Milvia Street, permeable pavement in the parking lanes on Milvia Street at Hopkins Street, and the bio-swale in Presentation Park at Allston Way and California Street.",At least 8 streets were paved in FY 2014 using funding from Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
FY 2015 Street & Watershed Improvements  ,Completed,Street,"Various streets throughout Berkeley including Reconstruction or Resurfacing of all or part of: 6th Street, 9th Street, 10th Street, Addison Street, Alvarado Road, Bancroft Way, Bridge Road, Brookside Drive, Brookside Avenue, Buena Avenue, Cedar Street, Chabolyn Terrance, Columbia Circle, Comstock Court, Dwight Way, Folger Avenue, Glen Avenue, Glendale Avenue, Grizzly Peak Blvd, Keeler Avenue, Le Conte Avenue, Milvia Street, North Street, Parker Street, Roble Street, Rose Street, Roslyn Court, Russell Street, Terminal Place, The Spiral, Vine Street, and Yolo Avenue.",At least 33 streets were paved and 22 sealed in FY 2015 using funding from Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
