Permit.Number,Permit.Type,Status,Date.Issued,Sub.Type,Property.Address,Valuation,APN,Contractor.s.Name,Contractor.s.Address,Work.Description
B2018-03688,Building Permit,Issued,1/14/2019,Commercial | Alteration | 1,"2435 DURANT Ave,
BERKELEY, CA 94704",53000,"055
187800501",,,Tenant Improvement of existing bakery (to go) (545sqft)
B2018-03725,Building Permit,Issued,1/22/2019,Residential | Addition | 1,"1642 ASHBY Ave,
BERKELEY, CA 94703",50000,"053
160703200",MCDUNN CONSTRUCTION INC,"1212 GLEN AVE, BERKELEY, CA, CA94708-1831",Conversion of (e) shed to an ADU. with permit B2018-03724
B2018-03734,Building Permit,Issued,1/4/2019,Residential | Addition | 1,"537 SANTA BARBARA Rd, BERKELEY, CA 94707",69000,"062
294004000",DAIMON CONSTUCTION,"2139 ALAMEDA AVENUE, ALAMEDA, CA, CA94501","Addition of 311sf to enlarge dining area, master bedroom & kitchen renovation. New deck Fire zone 2"
B2018-03784,Building Permit,Issued,1/22/2019,Residential | Alteration | 4,"1633 WOOLSEY St,
BERKELEY, CA 94703",100000,"052
154500900",,,"Replace fire damaged roof, front porch and front wall"
B2018-03787,Building Permit,Issued,1/10/2019,Residential | Alteration | 1,"2302 CARLETON St,
BERKELEY, CA 94704",10000,"055
183402400",,,Deck Replacement
B2018-03830,Building Permit,Issued,1/17/2019,Residential | Alteration | 1,"1819 ADDISON St,
BERKELEY, CA 94703",20000,"057
201601100",KING CONSTRUCTION,"2940 CLAREMONT AVE, BERKELEY, CA, CA94705",Soft Story retrofit for compliance with BMC 19.39 and removal of the building from the inventory of SWOF buildings.
B2018-03893,Building Permit,Issued,1/23/2019,Residential | New | 4,"1461 CURTIS St,
BERKELEY, CA 94702",88500,"060
239103800",CHARLES G TRIPP,"1316 NORVELL ST, EL CERRITO, CA, CA94530",Construct new 392 SF ADU
B2018-03912,Building Permit,Ready To Issue,1/15/2019,Residential | Alteration | 0,"2300 VINE St, BERKELEY, CA 94708",13000,"059
225200100",SELECT CEDAR SIDEWALL CO,"PO BOX 14278, SANTA ROSA, CA, CA95402-6278","Remove exterior shingles, replace w/ dense glass backing & class B fire treated cedar shingles w/ jumbo tex underlayment. Replace in kind 5/8 dense glass applied over exterior wall. Fire Zone 2 Property."
B2018-03922,Building Permit,Issued,1/3/2019,Commercial | Alteration | 1,"2100 MILVIA St, BERKELEY, CA 94704",23700,"057
202201701","ARJ AND SON CONSTRUCTION, INC","1889 W LOUISE AVE, MANTECA, CA, CA95337-8376",Addition of (2) interior partition and security doors. Work on the third floor.
B2018-03969,Building Permit,Issued,1/14/2019,Commercial | New | 6,"800 DWIGHT Way,
BERKELEY, CA 94710",2900000,"054
177300304",C OVERAA & CO,"200 PARR BLVD, RICHMOND, CA, CA94801-1120","1/29/19 - Electrical permit issued for lighting, power and fire alarm.
New 1570 sq.ft. building, 1 story 24ft height. produce compressed dry air for production use on the Bayer site. Bldg B67"
B2018-03969,Building Permit,Issued,1/14/2019,Commercial | New | 6,"800 DWIGHT Way,
BERKELEY, CA 94710",2900000,"054
177300304",MORROW-MEADOWS CORPORATION,"1050 BING ST, SAN CARLOS, CA, CA94070-5326","1/29/19 - Electrical permit issued for lighting, power and fire alarm.
New 1570 sq.ft. building, 1 story 24ft height. produce compressed dry air for production use on the Bayer site. Bldg B67"
B2018-03979,Building Permit,Issued,1/9/2019,"Residential | Addition/Alteration
| 4","1710 ADDISON St,
BERKELEY, CA 94703",120000,"056
201000300",TEMESCAL DESIGN INC,"2923 MARTIN LUTHER KING JR WAY, OAKLAND, CA, CA94609",Remodel of Existing 455sqft garage with addition of 270sqft into an ADU
B2018-03980,Building Permit,Issued,1/2/2019,Residential | Alteration | 4,"2314 CURTIS St,
BERKELEY, CA 94702",55750,"056
192600500",,,223 sf ft addition to add one new bedroom and remodeling bedrooms and bathroom. New wood landing and concrete steps to replace existing rear wood deck.
B2018-04016,Building Permit,Issued,1/24/2019,Residential | Alteration | 4,"639 SAN FERNANDO Ave, BERKELEY, CA 94707",155000,"062
292101900",DON WATERS CONSTRUCTION,"955 STANNAGE AVE, BERKELEY, CA, CA94706","Remodel of basement with conversion of adjacent space (92sq ft) to office, laundry room and bathroom. Replace stairs from upper level to lower. Replace wood fireplace with gas"
B2018-01965,Building Permit,Issued,1/28/2019,Residential | Alteration | 0,"1812 ROSE St, BERKELEY, CA 94703",20000,"059
227300300",EPIPHANY BUILDERS,"4128 WOODRUFF AVE, OAKLAND, CA, CA94602","Interior remodel of master bathroom, reconfigure master bedroom closet."
B2018-01415,Building Permit,Issued,1/16/2019,Commercial | Alteration | 1,"3015 SAN PABLO Ave 201,
BERKELEY, CA 94702",75000,"053
162703701",ERIC F ANDERSON INC,"1066 BEECHER ST, SAN LEANDRO, CA, CA94577",Commercial T.I. to prepare space for future restaurant including restrooms and floor drains.
B2018-01101,Building Permit,Issued,1/23/2019,"Residential | Addition/Alteration
| 4","2241 NINTH St, BERKELEY, CA 94710",47000,"056
197502200",WING CONSTRUCTION CO,"149 VICTORY CIRCLE, SAN RAMON, CA, CA94583",Structure reinforcing and enclosing existing balcony to enlarge existing living room and bedrooms
B2018-00885,Building Permit,Issued,1/8/2019,Residential | Alteration | 1,"1250 SPRUCE St,
BERKELEY, CA 94709",156000,"060
246603300",LUXSEHOME,"862 54TH ST, OAKLAND, CA, CA94608-
3237","Convert existing basement to habitable space, remodel existing first and second floors."
B2018-00348,Building Permit,Issued,1/2/2019,Commercial | Alteration | 4,"2590 TELEGRAPH Ave,
BERKELEY, CA 94704",7500,"055
183700300",WHEELHOUSE CONSTRUCTION,"2560 9TH ST STE 320, BERKELEY, CA, CA94710-2564","Expand existing square footage into the adjacent storefront to all for adult use cannabis retail, add 2nd exit with ramp at rear"
B2017-05241,Building Permit,Issued,1/17/2019,Commercial | Alteration | 4,"807 ALLSTON Way,
BERKELEY, CA 94710",5200,"056
196201600",THOMAS BUILDING GROUP,"3046 OCTAVIA ST, SAN FRANCISCO, CA, CA94123-3618",T.I. for a design firm
B2017-02076,Building Permit,Issued,1/14/2019,Commercial | New | 1,"1310 UNIVERSITY Ave,
BERKELEY, CA 94702",32000,"056
198101501",MEADOWS GREEN BLDG/DESIGN INC.,"234 OLEANDER DR, SAN RAFAEL, CA, CA949032504",New 946 square foot canopy over existing second level deck.
B2017-01565 ,Building Permit ,Issued ,1/4/2019,Residential | Alteration | 1 ,"2208 M L KING JR Way, BERKELEY, CA 94704 ",500,"057
201800600 ", , ,Based on Engineers E3 inspection report & housing code inspection on back of north and south (E) deck-stairs to strengthen ledger attachment though adding sister joists & posts and metal hardware. Repair defected fire-resisted ceiling and wall cover in basement heater room.
B2017-00971,Building Permit,Issued,1/23/2019,Residential | Alteration | 4,"1238 EVELYN Ave,
BERKELEY, CA 94706",50000,"060
240901100",,,"Convert lower level 291 sq.ft. one (1) one car garage & storage area to habitable bedroom and bathroom. Relocate laundry room to second floor, remodel kitchen and install new parking pad."
B2016-05908,Building Permit,Issued,1/18/2019,Residential | Alteration | 4,"1247 ASHBY Ave 1,
BERKELEY, CA 94702",15000,"053
162800900",,,Soft Story Retrofit.to comply with BMC 19.39 to allow removal of the building from the inventory of hazardous SWOF buildings
B2017-00352,Building Permit,Issued,1/2/2019,Residential | Alteration | 4,"1315 M L KING JR Way, BERKELEY, CA 94709",60000,"060
244802600",,,Soft-Story Retrofit
B2016-00510,Building Permit,Issued,1/10/2019,Residential | Alteration | 1,"2131 BLAKE St, BERKELEY, CA 94704",100000,"055
182300600",GREEN BAY REMODELING INC,"1170 BURNETT AVE STE S, CONCORD, CA, CA94520-5613","Repairs to dry rot on framing holding up concrete walkways. Valuation was increased from $20,000 to
$100,000. new Bldg App. uploaded."
B2018-04040,Building Permit,Issued,1/24/2019,Commercial | Alteration | 1,"2215 SAN PABLO Ave, BERKELEY, CA 94702",25000,"056
198303500",,,"Tenant improvement, remodel of restaurant per Health dept report dated 5/30/18."
B2018-04041,Building Permit,Issued,1/30/2019,Residential | New | 4,"2132 CURTIS St,
BERKELEY, CA 94702",112000,"056
198501200",A K PAHULU CONSTRUCTION,"821 SYCAMORE AVE, HAYWARD, CA, CA94544-1621",Add 300 s.f. ADU
B2018-04044,Building Permit,Issued,1/22/2019,Commercial | Alteration | 1,"1385 NINTH St, BERKELEY, CA 94710",75000,"060
235200201",ACRAT PLUMBING & HEATING LLC,"4560 ROBLAR ROAD, PETALUMA, CA, CA94952","Commercial T.I. install slant walls, upgrade electrical and plumbing."
B2018-04061,Building Permit,Issued,1/17/2019,Residential | Alteration | 1,"2770 DOHR St, BERKELEY, CA 94702",139160.75,"054
173801700",ESSA'S REMODELING AND ROOFING,"627 LYON ST, SAN FRANCISCO, CA, CA94117-1332","Interior remodel and add bedroom within reconfigured space. convert closet to laundry, furnance and water heater."
B2018-04067,Building Permit,Issued,1/14/2019,Residential | Alteration | 1,"2606 SHASTA Rd,
BERKELEY, CA 94708",24000,"060
247400102",,,Convert (E) attached garage into 454 SF ADU. Must Comply with Fire Zone 2 Requirements.
B2018-04096,Building Permit,Issued,1/15/2019,Residential | Alteration | 0,"2500 SACRAMENTO St,
BERKELEY, CA 94702",0,"054
179600100",NEXUS ENERGY SYSTEMS INC,"4025 S GOLDEN STATE BLVD, FRESNO, CA, CA93725-9242",Install 3.0KW PV solar panels (11 modules) on the roof.
B2018-04173,Building Permit,Issued,1/8/2019,Residential | Alteration | 1,"2808 HILLEGASS Ave A2, BERKELEY, CA 94705",62000,"053
169303700",MARIO SANTILLI CONSTRUCTION,"1940 UNION ST STE 2, OAKLAND, CA, CA94607",Kitchen & bath remodel in Unit 2 on the first floor. No exterior work.
B2018-04280,Building Permit,Issued,1/24/2019,Residential | Alteration | 0,"1530 M L KING JR Way, BERKELEY, CA 94709",19000,"059
227101200",,,Voluntary Seismic Improvements per ECBC. Do not qualify for Transfer Tax Rebate
B2018-04294,Building Permit,Issued,1/31/2019,Commercial | Alteration | 4,"1610 FIFTH St, BERKELEY, CA 94710",325000,"057
211602003",TERRA NOVA INDUSTRIES,"1607 TICE VALLEY BLVD, WALNUT CREEK, CA, CA94595","Tenant Improvement for only 12,000sf of interiors incl. new exterior window."
B2018-04296,Building Permit,Issued,1/3/2019,Commercial | New | 4,"800 DWIGHT Way B60, BERKELEY, CA 94710",40000,"054
177300304",MSR MECHANICAL LLC,"4501 CALIFORNIA COURT, BENICIA, CA, CA94510",Seismic anchoring of a cooling tower and a filter pump and utility access platforms for Building B60
B2018-04321,Building Permit,Issued,1/28/2019,Commercial | Alteration | 1,"2979 COLLEGE Ave,
BERKELEY, CA 94705",1000,"052
156706600",BERKELEY SIGNS,"PO BOX 3904, BERKELEY, CA, CA94703",New non-illuminated hanging blade sign 3x3 wood sign attached to welded bracket
B2018-04338,Building Permit,Finaled,1/2/2019,Residential | Alteration | 1,"763 SAN DIEGO Rd, BERKELEY, CA 94707",30000,"061
259802301",COUNTERFORCE INC,"2537 WILLOW ST STE 1, OAKLAND, CA, CA94607-1728","Seismic upgrade to include bolting, clips, shear and one pier replacement. Must Comply with Fire Zone 2 Requirements."
B2018-04349,Building Permit,Issued,1/23/2019,Residential | Alteration | 1,"1733 Beverly Pl, Berkeley, CA",125000,"061
260601001",ALTMANN & ASSOCIATES,"6573 SHATTUCK AVE, OAKLAND, CA, CA946091017","interior renovation: Includes remolded kitchen and two baths, chimney will be demolished. No change in area and no change in building footprint."
B2018-04389,Building Permit,Issued,1/16/2019,Residential | Alteration | 1,"2740 SAN PABLO Ave, BERKELEY, CA 94702",0,"054
174408300",SUN LIGHT & POWER,"1035 FOLGER AVE, BERKELEY, CA, CA94710",Install 23.1KW PV solar panels (66 modules).
B2018-04397 ,Building Permit ,Issued ,1/30/2019,Residential | Alteration | 1 ,"2315 NINTH St, BERKELEY, CA 94710",15000,056 193402900, , ,Replace front stairs 
B2018-04492,Building Permit,Issued,1/25/2019,Residential | Alteration | 1,"2303 SPAULDING Ave,
BERKELEY, CA 94703",55000,"055
191303500",HDR REMODELING,"2952 SACRAMENTO ST, BERKELEY, CA, CA94702","Residential remodel to create master bedroom and bath in (E) bedroom, and remodel 2 (E) bedrooms."
B2018-04535,Building Permit,Issued,1/30/2019,Residential | Alteration | 1,"2029 CHANNING Way 1A, BERKELEY, CA 94704",10000,"055
189502000",EAST BAY STRUCTURAL & TERMITE CO,"BURTON, OAKLAND, CA, CA94608",In Kind repair to stucco balconies framing and install waterproofing.
B2018-04573,Building Permit,Issued,1/29/2019,Commercial | Alteration | 1,"2493 TELEGRAPH Ave,
BERKELEY, CA 94704",12000,"055
187502600",,,"TI for ""Savory"" restaurant. Adding type 1 hood, new counter"
B2018-04603,Building Permit,Issued,1/31/2019,Residential | Alteration | 4,"1038 MIDDLEFIELD Rd,
BERKELEY, CA 94708",15000,"063
314006500",MAYAN CONSTRUCTION,"215 W 4TH ST, ANTIOCH, CA, CA94509",Foundation upgrade for residential remodel under Permit B2018-03638. New concrete slab & wall. Not for Transfer Tax Rebate. Fire Zone 2 Property.
B2018-04620,Building Permit,Issued,1/16/2019,Residential | Alteration | 4,"1925 TENTH St, BERKELEY, CA 94710",38000,"057
208801300",MJ CONSTRUCTION,"1316 LIBERTY ST, EL CERRITO, CA, CA94530-2311",Voluntary Seismic upgrade @ ground floor per 2016 CEBC appendix A4 -for transfer tax rebate
B2018-04632,Building Permit,Issued,1/31/2019,Residential | Alteration | 4,"2714 GARBER St,
BERKELEY, CA 94705",170000,"053
169902200",DEVCO,"3195 ADELINE ST, BERKELEY, CA, CA94703","Remodel two (2) existing bathrooms & kitchen. Expand kitchen by relocating laundry, add new bathroom & new half bath. Remove structural walls, install new windows."
B2018-04680,Building Permit,Issued,1/30/2019,Residential | Alteration | 1,"2801 DOHR St, BERKELEY, CA 94702",80000,"053
166900100",CHORAK ROBERT II,"1163 NOGALES ST, LAFAYETTE, CA, CA94549",Remove old failing foundation and replace with new updated foundation. Add a small deck at back of house and replace existing water heater with tankless water heater
B2018-04736,Building Permit,Issued,1/30/2019,"Residential | Addition/Alteration
| 1","1004 JONES St, BERKELEY, CA 94710",80000,"059
231100200",ALLWORLD CONSTRUCTION INC.,"530 CHESTERFIELD DR, PATTERSON, CA, CA95363-9223","Remodel main house with 518 sq ft addition to kitchen and bedroom. Replace all windows, front porch and roof, add new deck in back, and upgrade electrical, mechanical and plumbing per plans."
B2018-04770,Building Permit,Issued,1/16/2019,Residential | Alteration | 0,"585 CRAGMONT Ave,
BERKELEY, CA 94708",25232,"063
295302601",ADVANCED BUILDING SERVICES INC,"P.O. BOX 11144, PIEDMONT, CA, CA946110144",Engineered seismic retrofit for transfer tax rebate. Must Comply with Fire Zone 2 Requirements.
B2018-04782,Building Permit,Issued,1/28/2019,Residential | Alteration | 1,"1459 CURTIS St,
BERKELEY, CA 94702",113490,"060
239103900",,,Engineered foundation replacement Not for Transfer Tax Rebate.
B2018-04791,Building Permit,Issued,1/10/2019,Residential | Alteration | 1,"440 SPRUCE St,
BERKELEY, CA 94708",18600,"062
294600201",EUREKA VALLEY CONSTRUCTION,"6201 HARWOOD AVE, OAKLAND, CA, CA94618",Seismic strengthening - Property Fire Zone 2
B2018-04824,Building Permit,Issued,1/14/2019,Residential | Alteration | 0,"2915 WHEELER St,
BERKELEY, CA 94705",10120,"052
158202300",NC WINDOWS & DOORS INC,"1920 OAK GROVE ROAD, WALNUT CREEK, CA, CA94598","Windows Replacement - Rear Building. 2915D, E, F, G"
B2018-04840,Building Permit,Issued,1/25/2019,Residential | Alteration | 0,"1136 HIGH Ct, BERKELEY, CA 94708",59010,"061
255102000",RENEWAL BY ANDERSEN OF SAN FRA,"30800 SANTANA ST, HAYWARD, CA, CA94544",Remove & replace thirteen (13) windows & one (1) door. Reduce widths & sill heights. Fire Zone 2 Property. Seismic shut off valve permit is under B2019-00325
B2018-04861,Building Permit,Issued,1/24/2019,Residential | Demolition | 1,"1735 HOPKINS St,
BERKELEY, CA 94707",1000,"060
243701800",,,"Demolish 180 SqFt detached garage and detached shed. ""J"" Number ASB103909. (No Electricity.
Rebuild permit see #B2018-04862.)"
B2018-04867,Building Permit,Issued,1/25/2019,Residential | Alteration | 1,"1714 BERKELEY Way,
BERKELEY, CA 94703",30000,"057
206101800",,,Build partition wall in kitchen to add new bathroom with a pocket door. Change two (2) windows to new doors & enlarge existing deck.
B2018-04873,Building Permit,Issued,1/23/2019,Residential | Demolition | 1,"1353 ACTON St,
BERKELEY, CA 94706",10000,"060
242802800",E & J BUILDERS INC,"121 MAIDEN LN, OAKLAND, CA, CA94602-3556",Demolish accessory storage shed/garage
B2018-04928,Building Permit,Issued,1/3/2019,Residential | Alteration | 1,"160 SOUTHAMPTON Ave,
BERKELEY, CA 94707",40000,"061
259802103",DUVAL CONSTRUCTION INC,"8642 TERRACE DR, EL CERRITO, CA, CA94530",Engineered Seismic Retrofit/Upgrade at the crawl space for the transfer tax rebate;
B2018-04989,Building Permit,Issued,1/9/2019,Residential | Alteration | 0,"2909 STANTON St,
BERKELEY, CA 94702",40000,"053
161802401",JZ CONSTRUCTION,"490 LAKE PARK AVENUE UNIT, OAKLAND, CA, CA94610",Foundation footing replacement.
B2018-05020,Building Permit,Issued,1/23/2019,Residential | Alteration | 0,1322 Channing Way,0,"056
192000701",PETERSON DEAN INC,"1705 ENTERPRISE DR, FAIRFIELD, CA, CA94533-5801",Install 3.60 KW PV solar panels (12 Modules) on the roof.
B2018-05021,Building Permit,Issued,1/31/2019,Commercial | Alteration | 0,"801 GILMAN St, BERKELEY, CA 94710",4500,"060
235901601",,,Replace existing fence adjacent to Fifth St.
B2018-05022,Building Permit,Issued,1/24/2019,Residential | Alteration | 0,"2243 DWIGHT Way,
BERKELEY, CA 94704",0,"055
188900600",ALECO ELECTRIC,"607 ELMIRA RD # 314, VACAVILLE, CA, CA95687-4655",(2) 100 AMP sub panels and rewire unit.
B2018-05023,Building Permit,Issued,1/14/2019,Residential | Alteration | 0,"2101 SACRAMENTO St,
BERKELEY, CA 94702",5623,"056
200000100",,,Kitchen remodel
B2018-05032,Building Permit,Issued,1/30/2019,Commercial | Alteration | 1,"2920 TELEGRAPH Ave,
BERKELEY, CA 94705",4977,"052
157802101",DSIGNART,"3428 HILLCREST AVE #150, ANTIOCH, CA, CA94531",Installation of (N) sign (non-illuminated) on exterior of building.
B2018-05037,Building Permit,Issued,1/3/2019,Residential | Alteration | 0,"1638 HEARST Ave,
BERKELEY, CA 94703",2800,"057
206902100",,,"Repairs per housing report H2018-00378 dated 11- 29-18. Items 2,3,6,13,&19"
B2018-05057,Building Permit,Issued,1/15/2019,Residential | Alteration | 1,"280 PANORAMIC Way,
BERKELEY, CA 94704",15000,"055
185904700",,,Voluntary seismic improvement to the basement level of three-story single family residence
B2018-05062,Building Permit,Issued,1/28/2019,Residential | Alteration | 1,"2342 GRANT St,
BERKELEY, CA 94703",90000,"055
190501700",BUCKLEY BUILD,"7415 POTRERO AVE, EL CERRITO, CA, CA94530","Repair interior due to smoke damage, remove one bedroom and add one bathroom. Upgrade electrical, plumbing and insulation to code"
B2018-05086,Building Permit,Issued,1/22/2019,Residential | Alteration | 1,"1736 CEDAR St,
BERKELEY, CA 94703",47900,"058
216400500",ALAMEDA STRUCTUAL INC.,"1620 CLINTON AVE, ALAMEDA, CA, CA94501",Partial Foundation Replacement and crawlspace strengthening.
