Permit.Number,Status,Date.Issued,Building.Type,Work.Type,StreetNumber,StreetName,StreetType,Valuation,Work.Description,Property.Address
B2016-03447,Issued,08/16/2016,Residential,Alteration,1740,WALNUT,St,15000.0,Kitchen remodel in unit # 20,"1740 WALNUT St, Berkeley, CA"
B2016-03486,Issued,06/13/2019,Residential,Alteration,3027,TREMONT,St,125000.0,"Kitchen Remodel, bathroom remodel, convert closet to (N) master bathroom, relocate laundry room, replace fourteen (14) windows replace in-kind front entry stair. Reconfigure back deck replace roof. NOTE: See separate permit issued for removal of chimney, roof replacement and window replacement (B2016-04643).","3027 TREMONT St, Berkeley, CA"
B2016-03551-REV01,Issued,07/03/2018,Residential,Alteration,3052,DOHR,St,7400.0,"Revision submitted to replace siding with stucco, add plumbing fixtures & repair supply lines.  New electrical wiring & bath ventilation.  Reconfigure interior partition walls, relocate exterior stairs, landing & door.  Infill door, add new exterior door & window.  Remove laundry & replace with bath, add pocket door.  Per Valuation Rate, increase valuation from $4,000 to $35,869.","3052 DOHR St, Berkeley, CA"
B2016-03612,Issued,08/09/2016,Residential,Alteration,2328,LE CONTE,Ave,25000.0,"Replace one exterior door and one interior door, enclose one door from kitchen, Remodel kitchen and remodel two bathrooms on the second floor unit","2328 LE CONTE Ave, Berkeley, CA"
B2016-03723,Issued,02/04/2022,Residential,Alteration,752,GRIZZLY PEAK,Blvd,50000.0,Addition of deck to rear house (497 sqft). Enlarged window opening to accommodate door to deck. Replacement of (E) window. Removal of interior partition,"752 GRIZZLY PEAK Blvd, Berkeley, CA"
B2016-03771,Issued,08/16/2016,Residential,Alteration,790,SANTA BARBARA,Rd,0.0,Install a 4.32 kw solar PV System. Fire Zone 2 Property. Add new sub-panel 200 amp.,"790 SANTA BARBARA Rd, Berkeley, CA"
B2016-04268,Issued,06/20/2017,Residential,Addition/Alteration,1544,HEARST,Ave,95000.0,"Convert attic to master suite with one additional bathroom.  New dormer at rear of roof to increase head room, new access stair. Addition/remodel to kitchen, new rear deck, and repair existing front stairs.","1544 HEARST Ave, Berkeley, CA"
B2016-04347,Issued,10/21/2016,Residential,Alteration,2575,LE CONTE,Ave,0.0,REWIRE INTERIOR & EXTERIOR OF BLDG,"2575 LE CONTE Ave, Berkeley, CA"
B2016-04483-DEF04,Issued,01/14/2022,Mixed Use,New,2124,BANCROFT,Way,7288851.0,Deferred submittal for trusses.,"2124 BANCROFT Way, Berkeley, CA"
B2016-04483-REV07,Issued,01/14/2022,Mixed Use,New,2124,BANCROFT,Way,7288851.0,"Roof slopes, OSHA guardrail, elevator control room, lighting package, entry canopy design, kitchen layout, window sizes, door sizes, finishes & specifications, addition of laundry room, revised courtyard layout, ERRCS system, shaft detailing.  No change to valuation.","2124 BANCROFT Way, Berkeley, CA"
B2016-05125,Issued,06/02/2017,Residential,New,1950,ADDISON,St,16649030.0,"2/15/19 - mechanical permit issued.
7 story Apartment Building containing 107 Dwelling units. 5 stories of Type IIIA over 2 stories of Type IA podium. Ground Floor has Residential amenities: Fitness Room, Lobby/Lounge, Multi-Purpose Meeting, Dining Space and Bike Storage, additionally it has a leasing office and garage.","1950 ADDISON St, Berkeley, CA"
B2016-05464,Issued,05/08/2017,Residential,Alteration,1705,LA LOMA,Ave,90000.0,"Rebuild upper level of existing accessory structure, no change to existing footprint","1705 LA LOMA Ave, Berkeley, CA"
B2016-05529,Issued,11/28/2016,Residential,Alteration,3117,ELLIS,St,10000.0,Reroof-Remove the (E) reroof & install (N) roof,"3117 ELLIS St, Berkeley, CA"
B2016-05567,Issued,02/24/2017,Residential,Alteration,2022,SIXTH,St,99000.0,"EMP permits issued.
Remove illegal kitchen and 2 baths, relocate stairs and existing kitchen to 1st floor, remodel 2 baths, replace all the windows and doors same size and location, in-fill one window, remove unconditioned enclosed porch on 1st floor. Install radiant heat throughout. The valuation was increased from $40,000 to $65,000 by E.Miller, Plans Examiner.","2022 SIXTH St, Berkeley, CA"
B2016-05770,Issued,05/15/2017,Residential,Alteration,2400,PIEDMONT,Ave,90000.0,"Voluntary Seismic upgrade
* !st Extension expired 5-15-18 to 5-15-19.","2400 PIEDMONT Ave, Berkeley, CA"
B2016-05770-REV03,Issued,06/08/2022,Residential,Alteration,2400,PIEDMONT,Ave,90000.0,Modify moment frame to outside vertical post. Revised work located at gridline. No increase in valuation.,"2400 PIEDMONT Ave, Berkeley, CA"
B2016-05833,Issued,11/30/2017,Residential,Alteration,2225,HEARST,Ave,72000.0,Soft story seismic upgrade - reinforce building,"2225 HEARST Ave, Berkeley, CA"
B2016-05942,Issued,04/03/2017,Residential,Addition/Alteration,1545,THOUSAND OAKS,Blvd,238500.0,"Residential remodel To Lower Basement Floor and Create (2) Bedrooms, Music Room and Laundry.
1st Bldg Permit Ext. to April 3, 2018.","1545 THOUSAND OAKS Blvd, Berkeley, CA"
B2017-00004,Issued,04/19/2021,Residential,Alteration,3005,ELLIS,St,15000.0,Soft story retrofit per BMC 19.39,"3005 ELLIS St, Berkeley, CA"
